"time","species","w","N"
40,"Sprat",0.00152,12270743721504.2
0,"Sprat",0.00169,452700134336.498
1,"Sprat",0.00169,453654247700.22
2,"Sprat",0.00169,480409380272.593
3,"Sprat",0.00169,688516248671.301
4,"Sprat",0.00169,1700021152144.25
5,"Sprat",0.00169,5150647906208.02
6,"Sprat",0.00169,13708275852326.5
7,"Sprat",0.00169,29560467922534.6
8,"Sprat",0.00169,52260294696314
9,"Sprat",0.00169,78574555011945.7
10,"Sprat",0.00169,104643667020348
11,"Sprat",0.00169,127926478814298
12,"Sprat",0.00169,147534080723976
13,"Sprat",0.00169,163707860234076
14,"Sprat",0.00169,177656508686297
15,"Sprat",0.00169,192754856694677
16,"Sprat",0.00169,216973794361891
17,"Sprat",0.00169,259378166735955
18,"Sprat",0.00169,311013178031008
19,"Sprat",0.00169,340929456203973
20,"Sprat",0.00169,329790335942841
21,"Sprat",0.00169,284617538135986
22,"Sprat",0.00169,224245008296922
23,"Sprat",0.00169,165444660211017
24,"Sprat",0.00169,117345879459321
25,"Sprat",0.00169,81964944869678
26,"Sprat",0.00169,57428341172521.7
27,"Sprat",0.00169,40798932929735.2
28,"Sprat",0.00169,29486492124907.1
29,"Sprat",0.00169,21639122430099.5
30,"Sprat",0.00169,16079027497909.2
31,"Sprat",0.00169,12100903636736
32,"Sprat",0.00169,9275504347201.2
33,"Sprat",0.00169,7316799093140.07
34,"Sprat",0.00169,6016878652478.42
35,"Sprat",0.00169,5222864823020.78
36,"Sprat",0.00169,4829813733834.82
37,"Sprat",0.00169,4776660147694.3
38,"Sprat",0.00169,5042295682800.43
39,"Sprat",0.00169,5642599950286.13
40,"Sprat",0.00169,6629491236829.53
0,"Sprat",0.00188,369980947002.148
1,"Sprat",0.00188,370411919889.281
2,"Sprat",0.00188,386312069904.412
3,"Sprat",0.00188,520153967152.326
4,"Sprat",0.00188,1201901789876.02
5,"Sprat",0.00188,3626524783216.75
6,"Sprat",0.00188,9883544813199.1
7,"Sprat",0.00188,21917342659798.6
8,"Sprat",0.00188,39737261593186.6
9,"Sprat",0.00188,60969254245824.1
10,"Sprat",0.00188,82428251734047.3
11,"Sprat",0.00188,101837996321021
12,"Sprat",0.00188,118291168594350
13,"Sprat",0.00188,131870417290790
14,"Sprat",0.00188,143423556659954
15,"Sprat",0.00188,155335738860789
16,"Sprat",0.00188,173459580459066
17,"Sprat",0.00188,205513571668666
18,"Sprat",0.00188,246993926572286
19,"Sprat",0.00188,273950184806084
20,"Sprat",0.00188,267881721606530
21,"Sprat",0.00188,232278360411096
22,"Sprat",0.00188,182538300445326
23,"Sprat",0.00188,133353545800198
24,"Sprat",0.00188,93046150274052.6
25,"Sprat",0.00188,63616585784899.9
26,"Sprat",0.00188,43498837178036.2
27,"Sprat",0.00188,30125014604888.8
28,"Sprat",0.00188,21229024352241.5
29,"Sprat",0.00188,15202437312348
30,"Sprat",0.00188,11029603223567.8
31,"Sprat",0.00188,8105780227355.34
32,"Sprat",0.00188,6066430300702.37
33,"Sprat",0.00188,4673242916502.64
34,"Sprat",0.00188,3757172658101.18
35,"Sprat",0.00188,3196473907768.02
36,"Sprat",0.00188,2908494303395.79
37,"Sprat",0.00188,2844719393621.18
38,"Sprat",0.00188,2986623497968.22
39,"Sprat",0.00188,3342833076427.34
40,"Sprat",0.00188,3948327205201.46
0,"Sprat",0.00209,305706579477.715
1,"Sprat",0.00209,305899636049.27
2,"Sprat",0.00209,315464799686.066
3,"Sprat",0.00209,403021958715.555
4,"Sprat",0.00209,869943986138.754
5,"Sprat",0.00209,2597997317696.17
6,"Sprat",0.00209,7229394307626.59
7,"Sprat",0.00209,16461330365842.6
8,"Sprat",0.00209,30580387197698.3
9,"Sprat",0.00209,47858979114033
10,"Sprat",0.00209,65672769624892.9
11,"Sprat",0.00209,81994815175318.8
12,"Sprat",0.00209,95927677916918.3
13,"Sprat",0.00209,107444623882958
14,"Sprat",0.00209,117147032270784
15,"Sprat",0.00209,126752876335146
16,"Sprat",0.00209,140606354108684
17,"Sprat",0.00209,165155945253187
18,"Sprat",0.00209,198704711115037
19,"Sprat",0.00209,222947563049045
20,"Sprat",0.00209,220768940941172
21,"Sprat",0.00209,192975451983853
22,"Sprat",0.00209,151967684192789
23,"Sprat",0.00209,110557773338450
24,"Sprat",0.00209,76365379883880.2
25,"Sprat",0.00209,51437971205056.5
26,"Sprat",0.00209,34539915310783
27,"Sprat",0.00209,23456513971599.5
28,"Sprat",0.00209,16207321516226.6
29,"Sprat",0.00209,11386345581803.1
30,"Sprat",0.00209,8108431192645.75
31,"Sprat",0.00209,5848920267785.78
32,"Sprat",0.00209,4294631888153.28
33,"Sprat",0.00209,3244427819146.29
34,"Sprat",0.00209,2558491075487.77
35,"Sprat",0.00209,2137669597775.32
36,"Sprat",0.00209,1915083667591.87
37,"Sprat",0.00209,1851050923231.24
38,"Sprat",0.00209,1929094085347.68
39,"Sprat",0.00209,2153297952708.1
40,"Sprat",0.00209,2547523060638.22
0,"Sprat",0.00232,254905935257.759
1,"Sprat",0.00232,254991395613.705
2,"Sprat",0.00232,260791628899.273
3,"Sprat",0.00232,318851656532.856
4,"Sprat",0.00232,642848900932.744
5,"Sprat",0.00232,1888815044404.91
6,"Sprat",0.00232,5351414166881.95
7,"Sprat",0.00232,12494741235354.6
8,"Sprat",0.00232,23765506135157.4
9,"Sprat",0.00232,37924203818027.3
10,"Sprat",0.00232,52813044393038.3
11,"Sprat",0.00232,66635601112434.2
12,"Sprat",0.00232,78522353943799.1
13,"Sprat",0.00232,88370720450324.2
14,"Sprat",0.00232,96608811106744.2
15,"Sprat",0.00232,104493856911071
16,"Sprat",0.00232,115280941255133
17,"Sprat",0.00232,134294163946266
18,"Sprat",0.00232,161558827226458
19,"Sprat",0.00232,183260319201024
20,"Sprat",0.00232,183951253847957
21,"Sprat",0.00232,162468000763154
22,"Sprat",0.00232,128640518327119
23,"Sprat",0.00232,93592264345872.8
24,"Sprat",0.00232,64306285257867.2
25,"Sprat",0.00232,42889438861163.9
26,"Sprat",0.00232,28423845271403.3
27,"Sprat",0.00232,19018653510104.3
28,"Sprat",0.00232,12942677414716.4
29,"Sprat",0.00232,8959198559820.88
30,"Sprat",0.00232,6289083411879.61
31,"Sprat",0.00232,4471725542935.84
32,"Sprat",0.00232,3234538926337.15
33,"Sprat",0.00232,2405196663465.9
34,"Sprat",0.00232,1865926145364.75
35,"Sprat",0.00232,1534173327707.22
36,"Sprat",0.00232,1354438565387.59
37,"Sprat",0.00232,1293414754616.32
38,"Sprat",0.00232,1336295302466.22
39,"Sprat",0.00232,1484340605206.46
40,"Sprat",0.00232,1754068631988.26
0,"Sprat",0.00257,214182847937.13
1,"Sprat",0.00257,214220158940.156
2,"Sprat",0.00257,217753433267.971
3,"Sprat",0.00257,256669757463.969
4,"Sprat",0.00257,483916944565.898
5,"Sprat",0.00257,1390910972643.92
6,"Sprat",0.00257,4001072462429.67
7,"Sprat",0.00257,9567229306666.68
8,"Sprat",0.00257,18619366918985
9,"Sprat",0.00257,30286880813975.2
10,"Sprat",0.00257,42800394269350.6
11,"Sprat",0.00257,54574153179320.7
12,"Sprat",0.00257,64777860921687.7
13,"Sprat",0.00257,73256593225000.5
14,"Sprat",0.00257,80313664965536.2
15,"Sprat",0.00257,86881440160780.2
16,"Sprat",0.00257,95419134065594.5
17,"Sprat",0.00257,110288781681588
18,"Sprat",0.00257,132524833436772
19,"Sprat",0.00257,151844483302433
20,"Sprat",0.00257,154572555797215
21,"Sprat",0.00257,138156518582689
22,"Sprat",0.00257,110249958943536
23,"Sprat",0.00257,80466288010415.6
24,"Sprat",0.00257,55196572366652.1
25,"Sprat",0.00257,36593811783258.7
26,"Sprat",0.00257,24028402464606.9
27,"Sprat",0.00257,15900038830885.2
28,"Sprat",0.00257,10694893361466.7
29,"Sprat",0.00257,7319406854722.24
30,"Sprat",0.00257,5081964409902.27
31,"Sprat",0.00257,3573942852905.47
32,"Sprat",0.00257,2555207552684.8
33,"Sprat",0.00257,1876030953447.96
34,"Sprat",0.00257,1435559551952.95
35,"Sprat",0.00257,1163726662192.01
36,"Sprat",0.00257,1013481146254.06
37,"Sprat",0.00257,956263490668.725
38,"Sprat",0.00257,978652796609.993
39,"Sprat",0.00257,1080140404131.64
40,"Sprat",0.00257,1272299667987.49
0,"Sprat",0.00286,181147346532.945
1,"Sprat",0.00286,181163427373.694
2,"Sprat",0.00286,183319471580.621
3,"Sprat",0.00286,209624896813.071
4,"Sprat",0.00286,370428474000.714
5,"Sprat",0.00286,1035916043520.29
6,"Sprat",0.00286,3016943071544.75
7,"Sprat",0.00286,7379308234508.08
8,"Sprat",0.00286,14686045002126.5
9,"Sprat",0.00286,24345043361857.9
10,"Sprat",0.00286,34910365588433
11,"Sprat",0.00286,44987240205831.8
12,"Sprat",0.00286,53791376538942.1
13,"Sprat",0.00286,61132388242180.5
14,"Sprat",0.00286,67221919032304.5
15,"Sprat",0.00286,72759066793080.3
16,"Sprat",0.00286,79615335122209.7
17,"Sprat",0.00286,91346054526645.1
18,"Sprat",0.00286,109529666588069
19,"Sprat",0.00286,126633576508792
20,"Sprat",0.00286,130741643232727
21,"Sprat",0.00286,118375629026020
22,"Sprat",0.00286,95365933987362.9
23,"Sprat",0.00286,69981257808824.2
24,"Sprat",0.00286,48055280942888.9
25,"Sprat",0.00286,31762777014911.7
26,"Sprat",0.00286,20726187273643.3
27,"Sprat",0.00286,13602582776464.9
28,"Sprat",0.00286,9068155142366.4
29,"Sprat",0.00286,6151935970751.26
30,"Sprat",0.00286,4235824051214.01
31,"Sprat",0.00286,2954158920728.18
32,"Sprat",0.00286,2093195089965.19
33,"Sprat",0.00286,1521256564358.21
34,"Sprat",0.00286,1150768868878.93
35,"Sprat",0.00286,921320213898.611
36,"Sprat",0.00286,792329700088.38
37,"Sprat",0.00286,738891265488.885
38,"Sprat",0.00286,748754139498.078
39,"Sprat",0.00286,820293688129.349
40,"Sprat",0.00286,961674081515.403
0,"Sprat",0.00318,154075014581.892
1,"Sprat",0.00318,154081917899.103
2,"Sprat",0.00318,155396658827.118
3,"Sprat",0.00318,173292751070.768
4,"Sprat",0.00318,287911754962.142
5,"Sprat",0.00318,779419670280.149
6,"Sprat",0.00318,2291474375831.9
