"weight","time","species","N"
0.00179,37,"N.pout",135336866628622
0.00179,38,"N.pout",135336866628884
0.00179,39,"N.pout",135336866629051
0.00179,40,"N.pout",135336866629159
0.00201,0,"N.pout",48007613.1598851
0.00201,1,"N.pout",13839624063592.2
0.00201,2,"N.pout",122578069670637
0.00201,3,"N.pout",123234888016697
0.00201,4,"N.pout",123189944023623
0.00201,5,"N.pout",123127613848597
0.00201,6,"N.pout",123105721306809
0.00201,7,"N.pout",123097314759540
0.00201,8,"N.pout",123095382612998
0.00201,9,"N.pout",123095477555152
0.00201,10,"N.pout",123095803109105
0.00201,11,"N.pout",123095986474777
0.00201,12,"N.pout",123096065905305
0.00201,13,"N.pout",123096101953234
0.00201,14,"N.pout",123096121934540
0.00201,15,"N.pout",123096134757202
0.00201,16,"N.pout",123096143303226
0.00201,17,"N.pout",123096148940918
0.00201,18,"N.pout",123096152601138
0.00201,19,"N.pout",123096154954802
0.00201,20,"N.pout",123096156462852
0.00201,21,"N.pout",123096157428572
0.00201,22,"N.pout",123096158047227
0.00201,23,"N.pout",123096158443689
0.00201,24,"N.pout",123096158697798
0.00201,25,"N.pout",123096158860667
0.00201,26,"N.pout",123096158965053
0.00201,27,"N.pout",123096159031953
0.00201,28,"N.pout",123096159074828
0.00201,29,"N.pout",123096159102305
0.00201,30,"N.pout",123096159119914
0.00201,31,"N.pout",123096159131199
0.00201,32,"N.pout",123096159138431
0.00201,33,"N.pout",123096159143066
0.00201,34,"N.pout",123096159146036
0.00201,35,"N.pout",123096159147940
0.00201,36,"N.pout",123096159149160
0.00201,37,"N.pout",123096159149942
0.00201,38,"N.pout",123096159150443
0.00201,39,"N.pout",123096159150764
0.00201,40,"N.pout",123096159150970
0.00226,0,"N.pout",42654348.4973652
0.00226,1,"N.pout",12510565212816.5
0.00226,2,"N.pout",111451728535184
0.00226,3,"N.pout",111920386468584
0.00226,4,"N.pout",111936143895547
0.00226,5,"N.pout",111887220348691
0.00226,6,"N.pout",111869230524764
0.00226,7,"N.pout",111861529778781
0.00226,8,"N.pout",111859499161858
0.00226,9,"N.pout",111859475944745
0.00226,10,"N.pout",111859778744648
0.00226,11,"N.pout",111859981076159
0.00226,12,"N.pout",111860083091378
0.00226,13,"N.pout",111860135155207
0.00226,14,"N.pout",111860165093001
0.00226,15,"N.pout",111860183995935
0.00226,16,"N.pout",111860196324323
0.00226,17,"N.pout",111860204360310
0.00226,18,"N.pout",111860209556149
0.00226,19,"N.pout",111860212895674
0.00226,20,"N.pout",111860215036444
0.00226,21,"N.pout",111860216407900
0.00226,22,"N.pout",111860217286600
0.00226,23,"N.pout",111860217849700
0.00226,24,"N.pout",111860218210589
0.00226,25,"N.pout",111860218441887
0.00226,26,"N.pout",111860218590124
0.00226,27,"N.pout",111860218685127
0.00226,28,"N.pout",111860218746011
0.00226,29,"N.pout",111860218785030
0.00226,30,"N.pout",111860218810036
0.00226,31,"N.pout",111860218826061
0.00226,32,"N.pout",111860218836331
0.00226,33,"N.pout",111860218842913
0.00226,34,"N.pout",111860218847131
0.00226,35,"N.pout",111860218849834
0.00226,36,"N.pout",111860218851566
0.00226,37,"N.pout",111860218852677
0.00226,38,"N.pout",111860218853388
0.00226,39,"N.pout",111860218853844
0.00226,40,"N.pout",111860218854136
0.00254,0,"N.pout",37898019.2094814
0.00254,1,"N.pout",11302283391375.4
0.00254,2,"N.pout",101261479547586
0.00254,3,"N.pout",101539020386789
0.00254,4,"N.pout",101609823567372
0.00254,5,"N.pout",101573619028502
0.00254,6,"N.pout",101559440494322
0.00254,7,"N.pout",101552495119904
0.00254,8,"N.pout",101550404188973
0.00254,9,"N.pout",101550272849167
0.00254,10,"N.pout",101550549915077
0.00254,11,"N.pout",101550766272058
0.00254,12,"N.pout",101550887246476
0.00254,13,"N.pout",101550953090356
0.00254,14,"N.pout",101550991638712
0.00254,15,"N.pout",101551015792041
0.00254,16,"N.pout",101551031377972
0.00254,17,"N.pout",101551041476054
0.00254,18,"N.pout",101551047991429
0.00254,19,"N.pout",101551052178022
0.00254,20,"N.pout",101551054862472
0.00254,21,"N.pout",101551056582591
0.00254,22,"N.pout",101551057684761
0.00254,23,"N.pout",101551058391061
0.00254,24,"N.pout",101551058843711
0.00254,25,"N.pout",101551059133811
0.00254,26,"N.pout",101551059319732
0.00254,27,"N.pout",101551059438884
0.00254,28,"N.pout",101551059515245
0.00254,29,"N.pout",101551059564182
0.00254,30,"N.pout",101551059595544
0.00254,31,"N.pout",101551059615643
0.00254,32,"N.pout",101551059628523
0.00254,33,"N.pout",101551059636778
0.00254,34,"N.pout",101551059642068
0.00254,35,"N.pout",101551059645458
0.00254,36,"N.pout",101551059647631
0.00254,37,"N.pout",101551059649023
0.00254,38,"N.pout",101551059649916
0.00254,39,"N.pout",101551059650487
0.00254,40,"N.pout",101551059650854
0.00285,0,"N.pout",33672061.8318889
0.00285,1,"N.pout",10204245548097.2
0.00285,2,"N.pout",91934122505762
0.00285,3,"N.pout",92019235030262.6
0.00285,4,"N.pout",92139318451661.7
0.00285,5,"N.pout",92115122047588.2
0.00285,6,"N.pout",92104652222419.5
0.00285,7,"N.pout",92098508465387.7
0.00285,8,"N.pout",92096395006330.8
0.00285,9,"N.pout",92096165835281.6
0.00285,10,"N.pout",92096414345403.7
0.00285,11,"N.pout",92096639822785.4
0.00285,12,"N.pout",92096776121126.3
0.00285,13,"N.pout",92096853493880.2
0.00285,14,"N.pout",92096899295890.9
0.00285,15,"N.pout",92096927863033.4
0.00285,16,"N.pout",92096946177664.9
0.00285,17,"N.pout",92096957999163.6
0.00285,18,"N.pout",92096965616422.9
0.00285,19,"N.pout",92096970510287
0.00285,20,"N.pout",92096973648735
0.00285,21,"N.pout",92096975660026.4
0.00285,22,"N.pout",92096976948826.1
0.00285,23,"N.pout",92096977774718.2
0.00285,24,"N.pout",92096978304001.8
0.00285,25,"N.pout",92096978643208.7
0.00285,26,"N.pout",92096978860599.3
0.00285,27,"N.pout",92096978999919.1
0.00285,28,"N.pout",92096979089204.8
0.00285,29,"N.pout",92096979146424.7
0.00285,30,"N.pout",92096979183094.9
0.00285,31,"N.pout",92096979206595.3
0.00285,32,"N.pout",92096979221656.1
0.00285,33,"N.pout",92096979231307.8
0.00285,34,"N.pout",92096979237493.2
0.00285,35,"N.pout",92096979241457.3
0.00285,36,"N.pout",92096979243997.7
0.00285,37,"N.pout",92096979245625.7
0.00285,38,"N.pout",92096979246669.1
0.00285,39,"N.pout",92096979247337.7
0.00285,40,"N.pout",92096979247766.2
0.0032,0,"N.pout",29917335.3030254
0.0032,1,"N.pout",9206816524922.27
0.0032,2,"N.pout",83402048694720.3
0.0032,3,"N.pout",83295214081673.4
0.0032,4,"N.pout",83458713181376.7
0.0032,5,"N.pout",83445783955651.2
0.0032,6,"N.pout",83438905668634.8
0.0032,7,"N.pout",83433604883762.5
0.0032,8,"N.pout",83431505880077.6
0.0032,9,"N.pout",83431189417930.4
0.0032,10,"N.pout",83431406776322.7
0.0032,11,"N.pout",83431636551669.7
0.0032,12,"N.pout",83431784553694.4
0.0032,13,"N.pout",83431871201757.1
0.0032,14,"N.pout",83431922896986
0.0032,15,"N.pout",83431955039327.2
0.0032,16,"N.pout",83431975552820.1
0.0032,17,"N.pout",83431988758544.1
0.0032,18,"N.pout",83431997259741.5
0.0032,19,"N.pout",83432002720891.5
0.0032,20,"N.pout",83432006223533
0.0032,21,"N.pout",83432008468430.1
0.0032,22,"N.pout",83432009906968
0.0032,23,"N.pout",83432010828812.3
0.0032,24,"N.pout",83432011419579.7
0.0032,25,"N.pout",83432011798185.6
0.0032,26,"N.pout",83432012040824.3
0.0032,27,"N.pout",83432012196324.4
0.0032,28,"N.pout",83432012295979.3
0.0032,29,"N.pout",83432012359844.6
0.0032,30,"N.pout",83432012400773.4
0.0032,31,"N.pout",83432012427003.1
0.0032,32,"N.pout",83432012443812.8
0.0032,33,"N.pout",83432012454585.5
0.0032,34,"N.pout",83432012461489.1
0.0032,35,"N.pout",83432012465913.6
0.0032,36,"N.pout",83432012468749
0.0032,37,"N.pout",83432012470566.2
0.0032,38,"N.pout",83432012471730.6
0.0032,39,"N.pout",83432012472477
0.0032,40,"N.pout",83432012472955.2
0.00359,0,"N.pout",26581293.3019148
0.00359,1,"N.pout",8301183114169.86
0.00359,2,"N.pout",75602759045353.1
0.00359,3,"N.pout",75306363173241.8
0.00359,4,"N.pout",75507336998510.4
0.00359,5,"N.pout",75504899118140.9
0.00359,6,"N.pout",75501477733173.7
0.00359,7,"N.pout",75497054878789.6
0.00359,8,"N.pout",75495006043082.5
0.00359,9,"N.pout",75494613050461.5
0.00359,10,"N.pout",75494796953487.8
0.00359,11,"N.pout",75495026339951.9
0.00359,12,"N.pout",75495182470615.7
0.00359,13,"N.pout",75495276154583.3
0.00359,14,"N.pout",75495332388735.6
0.00359,15,"N.pout",75495367271660.4
0.00359,16,"N.pout",75495389457062.9
0.00359,17,"N.pout",75495403709822.6
0.00359,18,"N.pout",75495412878335.2
0.00359,19,"N.pout",75495418767641.3
0.00359,20,"N.pout",75495422545218.5
0.00359,21,"N.pout",75495424966503.3
0.00359,22,"N.pout",75495426518112
0.00359,23,"N.pout",75495427512411.8
0.00359,24,"N.pout",75495428149605.5
0.00359,25,"N.pout",75495428557960.9
0.00359,26,"N.pout",75495428819663.7
