"time","species","weight","N"
23.5,"Sprat",0.001,18225468999480.4
23.6,"Sprat",0.001,18228472670757.9
23.7,"Sprat",0.001,18230869872454.5
23.8,"Sprat",0.001,18232630597443.5
23.9,"Sprat",0.001,18233736476610.7
24,"Sprat",0.001,18234180530379.2
24.1,"Sprat",0.001,18233966682862.7
24.2,"Sprat",0.001,18233109058489.1
24.3,"Sprat",0.001,18231631095751.4
24.4,"Sprat",0.001,18229564527572.3
24.5,"Sprat",0.001,18226948289547.2
24.6,"Sprat",0.001,18223827423542.9
24.7,"Sprat",0.001,18220252043305.3
24.8,"Sprat",0.001,18216276420638.6
24.9,"Sprat",0.001,18211958236184.9
25,"Sprat",0.001,18207358019391.4
25.1,"Sprat",0.001,18202538779758
25.2,"Sprat",0.001,18197565807802.4
25.3,"Sprat",0.001,18192506601242.8
25.4,"Sprat",0.001,18187430851567.4
25.5,"Sprat",0.001,18182410410407.2
25.6,"Sprat",0.001,18177519145995
25.7,"Sprat",0.001,18172832599389.2
25.8,"Sprat",0.001,18168427359494.4
25.9,"Sprat",0.001,18164380095773.5
26,"Sprat",0.001,18160766217205.2
26.1,"Sprat",0.001,18157658163452.6
26.2,"Sprat",0.001,18155123376064.8
26.3,"Sprat",0.001,18153222039661.1
26.4,"Sprat",0.001,18152004720779.3
26.5,"Sprat",0.001,18151510060721
26.6,"Sprat",0.001,18151762694028.8
26.7,"Sprat",0.001,18152771562881.6
26.8,"Sprat",0.001,18154528777961
26.9,"Sprat",0.001,18157009138811.3
27,"Sprat",0.001,18160170374670.9
27.1,"Sprat",0.001,18163954106276.1
27.2,"Sprat",0.001,18168287468267.2
27.3,"Sprat",0.001,18173085279152.7
27.4,"Sprat",0.001,18178252608633.8
27.5,"Sprat",0.001,18183687574848
27.6,"Sprat",0.001,18189284207363
27.7,"Sprat",0.001,18194935232430
27.8,"Sprat",0.001,18200534669322.4
27.9,"Sprat",0.001,18205980163619.9
28,"Sprat",0.001,18211175018568.7
28.1,"Sprat",0.001,18216029914237.1
28.2,"Sprat",0.001,18220464323360
28.3,"Sprat",0.001,18224407642013.3
28.4,"Sprat",0.001,18227800053979.5
28.5,"Sprat",0.001,18230593142600.3
28.6,"Sprat",0.001,18232750256519.2
28.7,"Sprat",0.001,18234246629518.2
28.8,"Sprat",0.001,18235069252532.6
28.9,"Sprat",0.001,18235216499621.9
29,"Sprat",0.001,18234697519378.2
29.1,"Sprat",0.001,18233531417546.8
29.2,"Sprat",0.001,18231746272871
29.3,"Sprat",0.001,18229378043057.1
29.4,"Sprat",0.001,18226469428161.6
29.5,"Sprat",0.001,18223068762393.2
29.6,"Sprat",0.001,18219229001288
29.7,"Sprat",0.001,18215006859766.5
29.8,"Sprat",0.001,18210462138967.3
29.9,"Sprat",0.001,18205657257808.6
30,"Sprat",0.001,18200656980930.1
30.1,"Sprat",0.001,18195528309984.5
30.2,"Sprat",0.001,18190340482112.8
30.3,"Sprat",0.001,18185164999827.9
30.4,"Sprat",0.001,18180075602547.5
30.5,"Sprat",0.001,18175148083785.8
30.6,"Sprat",0.001,18170459861391.4
30.7,"Sprat",0.001,18166089222423.8
30.8,"Sprat",0.001,18162114189376.7
30.9,"Sprat",0.001,18158610989188.1
31,"Sprat",0.001,18155652148111
31.1,"Sprat",0.001,18153304280176.4
31.2,"Sprat",0.001,18151625680015.3
31.3,"Sprat",0.001,18150663867276.2
31.4,"Sprat",0.001,18150453254963.6
31.5,"Sprat",0.001,18151013123550.8
31.6,"Sprat",0.001,18152346073742.2
31.7,"Sprat",0.001,18154437102277.1
31.8,"Sprat",0.001,18157253398847.9
31.9,"Sprat",0.001,18160744902739.3
32,"Sprat",0.001,18164845592619.2
32.1,"Sprat",0.001,18169475421059.8
32.2,"Sprat",0.001,18174542755734.3
32.3,"Sprat",0.001,18179947158527.7
32.4,"Sprat",0.001,18185582325122.5
32.5,"Sprat",0.001,18191339019854.1
32.6,"Sprat",0.001,18197107869066.1
32.7,"Sprat",0.001,18202781913892.2
32.8,"Sprat",0.001,18208258862942.5
32.9,"Sprat",0.001,18213443020439.2
33,"Sprat",0.001,18218246891629.3
33.1,"Sprat",0.001,18222592482931.9
33.2,"Sprat",0.001,18226412319650.8
33.3,"Sprat",0.001,18229650201362.2
33.4,"Sprat",0.001,18232261707614.6
33.5,"Sprat",0.001,18234214458128.7
33.6,"Sprat",0.001,18235488125823.1
33.7,"Sprat",0.001,18236074200382.8
33.8,"Sprat",0.001,18235975505993.9
33.9,"Sprat",0.001,18235205488848.7
34,"Sprat",0.001,18233787306072
34.1,"Sprat",0.001,18231752764664.6
34.2,"Sprat",0.001,18229141173419.3
34.3,"Sprat",0.001,18225998179482.2
34.4,"Sprat",0.001,18222374662411.4
34.5,"Sprat",0.001,18218325751666.5
34.6,"Sprat",0.001,18213910019194.6
