time,species,weight,N
0,Cod,0.0142,9989770978.028515
1,Cod,0.0142,9933605240.075544
0,Saithe,0.0142,185406593132.3698
1,Saithe,0.0142,185310294746.822
0,Sprat,0.0169,1861520348732.782
1,Sprat,0.0169,1836168944395.704
0,Sandeel,0.0169,923525325650.3162
1,Sandeel,0.0169,921958922010.9243
0,N.pout,0.0169,14678906554169.52
1,N.pout,0.0169,14516645072146.453
0,Herring,0.0169,1620897841486.7268
1,Herring,0.0169,1604597502231.6528
0,Dab,0.0169,19287989086.676315
1,Dab,0.0169,19067795595.14549
0,Whiting,0.0169,973595600388.0306
1,Whiting,0.0169,967515050492.9379
0,Sole,0.0169,94754039342.02235
1,Sole,0.0169,93765790362.28203
0,Gurnard,0.0169,1673852107166.0278
1,Gurnard,0.0169,1862896553783.7058
0,Plaice,0.0169,67772224115712.61
1,Plaice,0.0169,82461511426615.7
0,Haddock,0.0169,2399441045418.7393
1,Haddock,0.0169,2422177900260.24
0,Cod,0.0169,8734371719.752773
1,Cod,0.0169,8685938335.660604
0,Saithe,0.0169,163299257817.81906
1,Saithe,0.0169,163223449740.3209
0,Sprat,0.0202,1585876002945.7744
1,Sprat,0.0202,1565094496470.2007
0,Sandeel,0.0202,814233377795.2521
1,Sandeel,0.0202,812933597401.6154
0,N.pout,0.0202,12325184911543.58
1,N.pout,0.0202,12190165177254.59
0,Herring,0.0202,1391318741311.7373
1,Herring,0.0202,1377152501065.8796
0,Dab,0.0202,16581090670.231665
1,Dab,0.0202,16400219787.049585
0,Whiting,0.0202,826292550426.9673
1,Whiting,0.0202,821292969440.332
0,Sole,0.0202,81910941425.59462
1,Sole,0.0202,81095344747.07971
0,Gurnard,0.0202,1405210965279.3457
1,Gurnard,0.0202,1562850040686.6519
0,Plaice,0.0202,55129173509173.04
1,Plaice,0.0202,66968751461906.17
0,Haddock,0.0202,2040913526595.6262
1,Haddock,0.0202,2060763970456.7854
0,Cod,0.0202,7622899197.893395
1,Cod,0.0202,7581634026.723167
0,Saithe,0.0202,143585486081.28845
1,Saithe,0.0202,143525613327.78918
0,Sprat,0.0241,1347612952912.0054
1,Sprat,0.0241,1330902229424.8516
0,Sandeel,0.0241,717482252454.835
1,Sandeel,0.0241,716427331021.6953
0,N.pout,0.0241,10295530107483.436
1,N.pout,0.0241,10183992480576.791
0,Herring,0.0241,1191374727860.8406
1,Herring,0.0241,1179202614127.1682
0,Dab,0.0241,14220219699.115217
1,Dab,0.0241,14074914693.796787
0,Whiting,0.0241,698607831905.5414
1,Whiting,0.0241,694585168696.5686
0,Sole,0.0241,70664804226.82764
1,Sole,0.0241,70005094503.78339
0,Gurnard,0.0241,1174312050545.3147
1,Gurnard,0.0241,1305163096205.761
0,Plaice,0.0241,44603321908952.805
1,Plaice,0.0241,54099824391821.15
0,Haddock,0.0241,1729322364074.8374
1,Haddock,0.0241,1746680246092.536
0,Cod,0.0241,6640247900.982508
1,Cod,0.0241,6605524831.181943
0,Saithe,0.0241,126026453116.17744
1,Saithe,0.0241,125978311063.71535
0,Sprat,0.0288,1142135995280.4346
1,Sprat,0.0288,1128983518219.3484
0,Sandeel,0.0288,631841978336.3267
1,Sandeel,0.0288,631008959736.3214
0,N.pout,0.0288,8553930968976.658
1,N.pout,0.0288,8462505632812.365
0,Herring,0.0288,1017617175250.5901
1,Herring,0.0288,1007276623788.8038
0,Dab,0.0288,12165182459.677477
1,Dab,0.0288,12051428079.296055
0,Whiting,0.0288,588305118309.4451
1,Whiting,0.0288,585145283000.4999
0,Sole,0.0288,60832260561.27239
